IDITEM;IDBRAND;BRAND;ARTNR;TEXT;IDCATEGORY;CATEGORY;PRINTERSERIES;EAN;NZPICTURE
40055207;20000264;Canon;0734 A 003;Fax L 200;145142000;Laser fax;Fax L;;
40055208;20000264;Canon;6653 A 004;Fax L 280;145142000;Laser fax;Fax L;;
40054978;20000264;Canon;;S 800;145131000;InkJet-Printer;S;;
40056997;20000264;Canon;7887 A 006;S 830 D;145131000;InkJet-Printer;S;4960999170503;
40055264;20001400;Telekom;;T-Fax 8300;145142000;Laser fax;T-Fax;;
40056448;20000264;Canon;;S 820 D;145131000;InkJet-Printer;S;;
40056449;20000264;Canon;6873 A 006;S 900;145131000;InkJet-Printer;S;4960999006482;
40056450;20000264;Canon;6887 A 006;S 9000;145131000;InkJet-Printer;S;4960999038179;
40056329;20001400;Telekom;;T-Fax 8600;145142000;Laser fax;T-Fax;;
40057073;20000264;Canon;;Fax L 240;145142000;Laser fax;Fax L;4960999112770;
40057074;20000264;Canon;7960 A 004;Fax L 290;145142000;Laser fax;Fax L;4960999112695;
40057075;20000264;Canon;7961 A 004;Fax L 360;145142000;Laser fax;Fax L;4960999112732;
40055423;20000264;Canon;;Multipass L 6000;145123000;Multifunction laser;Multipass;;
40054036;20000264;Canon;0686 A 006;Fax L 350;145142000;Laser fax;Fax L;4960999231495;
40056056;20000264;Canon;;CFX L 3500 iF;145123000;Multifunction laser;CFX;;
40059972;20001400;Telekom;;T-Fax 8601;145142000;Laser fax;T-Fax;;
40060682;20000264;Canon;8537 A 006;I 990;145131000;InkJet-Printer;I;4960999185453;
40060076;20000264;Canon;9193 A 004;Fax L 220;145142000;Laser fax;Fax L;4960999204093;
40060077;20000264;Canon;9192 A 004;Fax L 295;145142000;Laser fax;Fax L;4960999204062;
40060428;20000264;Canon;8098 A 025;imageCLASS D 340;145123000;Multifunction laser;imageCLASS D;0013803082364;
40060429;20000264;Canon;;Laser Class 510;145142000;Laser fax;Laser Class;;
40060440;20000264;Canon;;LBP-27;145121000;Laserprinter;LBP;;
40060441;20000264;Canon;;Lasershot LBP-3200;145121000;Laserprinter;Lasershot;;
40060442;20000264;Canon;;LBP-300 n;145121000;Laserprinter;LBP;8714574506043;
40060443;20000264;Canon;;LBP-300 LDA;145121000;Laserprinter;LBP;;
40060444;20000264;Canon;;LBP-300 LDF;145121000;Laserprinter;LBP;;
40060445;20000264;Canon;;LBP-3200;145121000;Laserprinter;LBP;4960999202174;
40058387;20000264;Canon;8097 A 002;Fax L 400;145142000;Laser fax;Fax L;4960999172866;
40058388;20000264;Canon;8535 A 006;I 9100;145131000;InkJet-Printer;I;4960999185217;
40058392;20000264;Canon;;Faxphone L 75;145142000;Laser fax;Faxphone;;
40060963;20000264;Canon;9400 A 004;Fax L 380;145142000;Laser fax;Fax L;4960999210179;
40057540;20000569;EGT;;Agoris 5104;145142000;Laser fax;Agoris;;
40057541;20000569;EGT;;Agoris 6102;145142000;Laser fax;Agoris;;
40061987;20000264;Canon;9316 A 017;Pixma IP 3000;145131000;InkJet-Printer;Pixma;4960999211770;
40061988;20000264;Canon;9317 A 017;Pixma IP 4000;145131000;InkJet-Printer;Pixma;4960999211855;
