IDITEM_PRINTER;IDITEM_SUPPLY
50079096;50093943
50263043;50093943
50072322;50093943
50072324;50093943
50072325;50093943
50132031;50093943
50117249;50093943
50155258;50093943
50183507;50093943
50188276;50093943
40076785;50093943
40081702;50093943
40079995;50093943
40077314;50093943
40073564;50093943
40089492;50093943
40091889;50093943
40091984;50093943
50072328;50093943
40079240;50093943
50117434;50101437
40067639;50101437
40064096;50101437
40064036;50101437
50191125;50101437
40065307;50101437
40087483;50101437
40071124;50101437
50079096;50074205
50263043;50074205
50072322;50074205
50072324;50074205
50072325;50074205
50132031;50074205
50117249;50074205
50155258;50074205
50183507;50074205
50188276;50074205
40076785;50074205
40081702;50074205
40079995;50074205
40077314;50074205
40073564;50074205
40089492;50074205
40091889;50074205
40091984;50074205
50072328;50074205
40079240;50074205
50079096;50074207
50263043;50074207
50072322;50074207
50072324;50074207
50072325;50074207
50132031;50074207
50117249;50074207
50155258;50074207
50183507;50074207
50188276;50074207
40076785;50074207
40081702;50074207
40079995;50074207
40077314;50074207
40073564;50074207
40089492;50074207
40091889;50074207
40091984;50074207
50072328;50074207
40079240;50074207
50177197;50282638
40067640;50282638
40067641;50282638
40067642;50282638
40073105;50282638
40064027;50282638
40064037;50282638
40064038;50282638
40064039;50282638
40068414;50282638
40068415;50282638
40078492;50282638
40087947;50282638
40071125;50282638
40071126;50282638
50158107;50071371
50112497;50071371
50152464;50071371
50187027;50071371
50169401;50071371
40067773;50071371
40067778;50071371
40073164;50071371
40071129;50071371
40091305;50071371
40064032;50071371
40064033;50071371
40064040;50071371
40064041;50071371
40063833;50071371
40065304;50071371
40065305;50071371
40065306;50071371
40074498;50071371
40067764;50071371
40067765;50071371
40067766;50071371
50078532;50071371
50135007;50071371
40067772;50071371
40071128;50071371
40065309;50071371
40065310;50071371
40067763;50071371
40071124;50071371
50106503;50071371
40083915;50071371
40071122;50071371
40071123;50071371
40071127;50071371
50072459;50074202
50292839;50074202
40070802;50074202
40073163;50074202
40071663;50074202
40098921;50074202
40071131;50074202
40069123;50074202
40071125;50074202
40071126;50074202
50079096;50074203
50263043;50074203
50072322;50074203
50072324;50074203
50072325;50074203
50132031;50074203
50117249;50074203
50155258;50074203
50183507;50074203
50188276;50074203
40076785;50074203
40081702;50074203
40079995;50074203
40077314;50074203
40073564;50074203
40089492;50074203
40091889;50074203
40091984;50074203
50072328;50074203
40079240;50074203
50079096;50074204
50263043;50074204
50072322;50074204
50072324;50074204
50072325;50074204
50132031;50074204
50117249;50074204
50155258;50074204
50183507;50074204
50188276;50074204
40076785;50074204
40081702;50074204
40079995;50074204
40077314;50074204
40073564;50074204
40089492;50074204
40091889;50074204
40091984;50074204
50072328;50074204
40079240;50074204
50079096;50074206
50263043;50074206
50072322;50074206
50072324;50074206
50072325;50074206
50132031;50074206
50117249;50074206
50155258;50074206
50183507;50074206
50188276;50074206
40076785;50074206
40081702;50074206
40079995;50074206
40077314;50074206
40073564;50074206
40089492;50074206
40091889;50074206
40091984;50074206
50072328;50074206
40079240;50074206
50280737;50074176
40067637;50074176
40063834;50074176
40068383;50074176
40068384;50074176
50177197;50074176
40067640;50074176
40067641;50074176
40067642;50074176
40073105;50074176
40064027;50074176
40064037;50074176
40064038;50074176
40064039;50074176
50189372;50074176
50295613;50074176
50210052;50074176
40067638;50074176
40064034;50074176
40064035;50074176
40068963;50074176
50072459;50074176
50292839;50074176
40070802;50074176
40073163;50074176
40071663;50074176
40098921;50074176
40071131;50074176
40069123;50074176
40071125;50074176
40071126;50074176
50079096;50074214
50263043;50074214
50072322;50074214
50072324;50074214
50072325;50074214
50132031;50074214
50117249;50074214
50155258;50074214
50183507;50074214
50188276;50074214
40076785;50074214
40081702;50074214
40079995;50074214
40077314;50074214
40073564;50074214
40089492;50074214
40091889;50074214
40091984;50074214
50072328;50074214
40079240;50074214
50280737;50074202
40067637;50074202
40063834;50074202
40068383;50074202
40068384;50074202
50177197;50074202
40067640;50074202
40067641;50074202
40067642;50074202
40073105;50074202
40064027;50074202
40064037;50074202
40064038;50074202
40064039;50074202
40068414;50074202
40068415;50074202
40078492;50074202
40087947;50074202
40068963;50074202
50079096;50060064
50263043;50060064
50072322;50060064
50072324;50060064
50072325;50060064
50132031;50060064
50117249;50060064
50155258;50060064
50183507;50060064
50188276;50060064
40076785;50060064
40081702;50060064
40079995;50060064
40077314;50060064
40073564;50060064
40089492;50060064
40091889;50060064
40091984;50060064
50072328;50060064
40079240;50060064
50098301;50091097
50100731;50091097
50115785;50091097
50084221;50091097
50084222;50091097
50130884;50091097
50147769;50091097
50184262;50091097
50475885;50091097
50470172;50091097
50139435;50091097
50161411;50091097
50166327;50091097
50170859;50091097
50079570;50091097
40096009;50091097
40078460;50091097
40064402;50091097
40073165;50091097
40079047;50091097
40064793;50091097
40073169;50091097
40073170;50091097
40073171;50091097
40073172;50091097
40073311;50091097
40069622;50091097
40069623;50091097
40069624;50091097
40073798;50091097
40085199;50091097
40081226;50091097
40093887;50091097
40091311;50091097
40069119;50091097
40069120;50091097
40063836;50091097
40063837;50091097
40071472;50091097
40074310;50091097
40067767;50091097
40067768;50091097
40067769;50091097
50158107;50066059
50112497;50066059
50152464;50066059
50187027;50066059
50169401;50066059
40067773;50066059
40067778;50066059
40073164;50066059
40071129;50066059
40091305;50066059
40064032;50066059
40064033;50066059
40064040;50066059
40064041;50066059
40063833;50066059
40065304;50066059
40065305;50066059
40065306;50066059
40074498;50066059
40067764;50066059
40067765;50066059
40067766;50066059
50078532;50066059
50135007;50066059
40067772;50066059
40071128;50066059
40065309;50066059
40065310;50066059
40067763;50066059
40071124;50066059
50106503;50066059
40083915;50066059
40071122;50066059
40071123;50066059
40071127;50066059
50209711;50062063
50144701;50062063
50150662;50062063
50190684;50062063
50171055;50062063
40009674;50062063
40009690;50062063
40009919;50062063
40009920;50062063
40009658;50062063
40009659;50062063
40009660;50062063
40057073;50062063
40057074;50062063
40057075;50062063
40059972;50062063
40057274;50062063
40057275;50062063
40057277;50062063
40057278;50062063
40055207;50062063
40055208;50062063
40057279;50062063
40057540;50062063
40057541;50062063
40060076;50062063
40060077;50062063
40057039;50062063
40057040;50062063
40057041;50062063
40057042;50062063
40061060;50062063
40055264;50062063
40056056;50062063
40057056;50062063
40057057;50062063
40057058;50062063
40055423;50062063
40047805;50062063
40047806;50062063
40059932;50062063
40056329;50062063
40054036;50062063
40061862;50062063
40058392;50062063
40060539;50062063
40057666;50062063
40063017;50062063
50078532;50246119
50135007;50246119
40067772;50246119
40071128;50246119
40065309;50246119
40065310;50246119
40067763;50246119
50158107;50246119
50112497;50246119
50152464;50246119
50187027;50246119
50169401;50246119
40067773;50246119
40067778;50246119
40073164;50246119
40071129;50246119
40091305;50246119
40064032;50246119
40064033;50246119
40064040;50246119
40064041;50246119
40063833;50246119
40065304;50246119
40065305;50246119
40065306;50246119
40074498;50246119
40067764;50246119
40067765;50246119
40067766;50246119
50106503;50246119
40083915;50246119
40071122;50246119
40071123;50246119
40071124;50246119
40071127;50246119
50079096;50135148
50263043;50135148
50072322;50135148
50072324;50135148
50072325;50135148
50132031;50135148
50117249;50135148
50155258;50135148
50183507;50135148
50188276;50135148
40076785;50135148
40081702;50135148
40079995;50135148
40077314;50135148
40073564;50135148
40089492;50135148
40091889;50135148
40091984;50135148
50072328;50135148
40079240;50135148
50173750;50152492
40054017;50152492
40059922;50152492
40059698;50152492
40058388;50152492
40059694;50152492
40059695;50152492
50107295;50152492
40054978;50152492
40056448;50152492
40056449;50152492
40056450;50152492
40056997;50152492
40058212;50152492
40056536;50152492
40059924;50152492
40058098;50152492
40058099;50152492
40058100;50152492
40073102;50152492
40062093;50152492
40060682;50152492
50284611;50152492
40060842;50152492
40060843;50152492
40062092;50152492
50078532;50273086
50135007;50273086
40067772;50273086
40071128;50273086
40065309;50273086
40065310;50273086
40067763;50273086
