IDPRINTERSERIES;IDBRAND;BRAND;TEXT
34000645;20000593;Epson;Stylus
34000649;20000593;Epson;TM
31001020;20001400;Telekom;T-Fax
34000423;20000569;EGT;Agoris
34000738;20000593;Epson;Workforce
31000063;20000264;Canon;BJ
31000064;20000264;Canon;BJC
31000074;20000264;Canon;CFX
31000086;20000264;Canon;Fax L
31000088;20000264;Canon;Faxphone
31000092;20000264;Canon;I
31000094;20000264;Canon;imageCLASS D
31000095;20000264;Canon;imageCLASS MF
31000096;20000264;Canon;imageCLASS
31000099;20000264;Canon;imageRUNNER C
31000100;20000264;Canon;imageRUNNER
31000102;20000264;Canon;iR-C
31000103;20000264;Canon;iR
31000106;20000264;Canon;Laser Class
31000107;20000264;Canon;Laserbase
31000108;20000264;Canon;Lasershot
31000109;20000264;Canon;LBP
31000112;20000264;Canon;Multipass
31000119;20000264;Canon;PC-D
31000120;20000264;Canon;Pixma
31001213;20000264;Canon;i-SENSYS
31001230;20000264;Canon;Fax JX
34000651;20001076;Olivetti;DP
34000653;20000746;IBM;Infoprint
34000654;20001434;Toshiba;TF
34000657;20000728;HP;OfficeJet
34000658;20001164;Konica Minolta;Pagepro
34000661;20000886;Lexmark;Optra
34000662;20000728;HP;DesignJet
34000664;20001289;Sharp;UX
34000665;20001164;Konica Minolta;bizhub
34000666;20000984;Kyocera;FS
34000667;20000728;HP;LaserJet
34000669;20001289;Sharp;XE
34000670;20001295;Wincor-Nixdorf;Highprint
34000671;20000728;HP;PhotoSmart
34000672;20001214;Ricoh;LP
34000673;20001237;Sagem;MF
34000674;20000984;Kyocera;KM
34000675;20001289;Sharp;AR
34000676;20001289;Sharp;FO
34000677;20001289;Sharp;NX
34000678;20001289;Sharp;PA
34000687;20001099;Panasonic;FP
34000691;20001077;Olympia;Omega
34000692;20000593;Epson;Expression
34000693;20001289;Sharp;AL
34000694;20001289;Sharp;ER
34000695;20001250;Sanyo;SFT
34000696;20000827;Jetfax;Jetfax
31000127;20000264;Canon;S
34001701;20000681;Gestetner;Docustation
34001702;20000391;CPF;Fax
34001703;20000229;Brother;Fax
34001704;20000229;Brother;HL
34001705;20000229;Brother;MFC
34001706;20000229;Brother;P
34001707;20000264;Canon;Fax
34001708;20000264;Canon;BJ
34001710;20000264;Canon;imageCLASS
34001711;20000264;Canon;imageRUNNER
34001712;20000264;Canon;iR
34001713;20000264;Canon;PC
34001714;20002389;NRG;MP
34001715;20002389;NRG;SP
34001716;20000593;Epson;EPL
34001717;20000593;Epson;M
34001719;20002389;NRG;Docustation
34001356;20000681;Gestetner;MP
34001128;20001214;Ricoh;Aficio
34001129;20001535;Xerox;Docuprint
34001130;20001535;Xerox;WorkCentre
34001131;20001535;Xerox;X
34002198;20000229;Brother;DCP
34001268;20001164;Konica Minolta;Fax
34001269;20000984;Kyocera;LP
34001271;20001122;Philips;Fax
34001272;20001210;Rex Rotary;Docustation
34001273;20001237;Sagem;Fax
34001277;20000784;Infotec;MP
34001369;20001214;Ricoh;MP
34000688;20001099;Panasonic;FP
34000679;20001289;Sharp;PA
34000680;20001289;Sharp;PA
34000655;20001434;Toshiba;TF
34000647;20000593;Epson;Stylus
34001918;20001289;Sharp;MX
34002362;20000229;Brother;PT
34002112;20000264;Canon;imagePROGRAF
34002372;20001289;Sharp;BP
34002034;20001145;Xante;Colourlaser
34002035;20000728;HP;DeskJet
