IDITEM;IDBRAND;BRAND;ARTNR;PARTNR;TEXT;IDCATEGORY;CATEGORY;COLOR;ISCOMPATIBLE;NZVE;NZYIELD;COVERAGE;MEASURES;CONTENT;CONTENT_ML;CONTENT_GRAMM;CONTENT_CHAR;GERMAN_GROUP_NO;SUPPLYSERIES;EAN;NZPICTURE
50045805;20000849;KMP;1505,0006;C68;Ink cartridge magenta;145222230;Ink cartridge magenta;magenta;T;1;420;;;420 pages, 13,00 ml;13;;;1505;;4011324505061;134400
50046062;20000849;KMP;1505,0046;C71;Ink cartridge light magenta;145222240;Ink cartridge light magenta;photomagenta;T;1;;;;13,00 ml;13;;;;;4011324150568;134403
50042922;20001109;Pelikan;627650;1121;Toner cartridge black;145211100;Toner black;black;T;1;3900;5;;3.900 pages/5%, 1x170 grams, Pack=1;;170;;1121;;4018474627650;19234
50042829;20001109;Pelikan;629517;1176;Toner cartridge;145211200;Toner cyan;black;T;1;2100;5;;2.100 pages/5%, 1x120 grams, Pack=1;;120;;1176;;4018474629517;19261
50043546;20001109;Pelikan;361752;C27;Ink cartridge black;145222110;Ink cartridge black;black;T;1;5075;;;5.075 pages, 13,00 ml;13;;;1503;;4018474101273;35296
50043547;20001109;Pelikan;361707;C28;Ink cartridge cyan;145222210;Ink cartridge cyan;cyan;T;1;1365;;;1.365 pages, 13,00 ml;13;;;1505;;4012700361707;35291
50043549;20001109;Pelikan;361721;C30;Ink cartridge yellow;145222250;Ink cartridge yellow;yellow;T;1;950;;;950 pages, 13,00 ml;13;;;1505;;4012700361721;35293
50043550;20001109;Pelikan;361738;C32;Ink cartridge light cyan;145222220;Ink cartridge light cyan;photocyan;T;1;;;;13,00 ml;13;;;;;4018474361738;35294
50043551;20001109;Pelikan;361745;C33;Ink cartridge light magenta;145222240;Ink cartridge light magenta;photomagenta;T;1;;;;13,00 ml;13;;;;;4018474361745;35295
50027529;20000264;Canon;0624 B 001;CLI-8 PC;Ink cartridge light cyan;145222220;Ink cartridge light cyan;photocyan;F;1;5715;;;5.715 pages, 13,00 ml;13;;;;CLI-8;4960999272894;66945
50027530;20000264;Canon;0625 B 001;CLI-8 PM;Ink cartridge light magenta;145222240;Ink cartridge light magenta;photomagenta;F;1;5630;;;5.630 pages, 13,00 ml;13;;;;CLI-8;4960999272931;66946
50062063;20000849;KMP;0858,4000;C-T7;Toner cartridge black economy;145211100;Toner black;black;T;1;2500;5;;2.500 pages/5%, 160 grams;;160;;858;;4011324085822;133931
50049655;20000849;KMP;1505,0003;C67;Ink cartridge cyan;145222210;Ink cartridge cyan;cyan;T;1;420;;;420 pages, 13,00 ml;13;;;1505;;4011324505030;134398
50054804;20000264;Canon;2934 B 010;CLI-521;Ink cartridge multi pack C,M,Y;145222400;Ink cartridge multi pack;cyan magenta yellow;F;3;446;;;446 pages, 9,00 ml, Pack=3;9;;;;CLI-521;8714574525808;370807
50053817;20000264;Canon;2936 B 001;CLI-521 Y;Ink cartridge yellow;145222250;Ink cartridge yellow;yellow;F;1;477;;;477 pages, 9,00 ml;9;;;;CLI-521;4960999577531;45034
50050848;20000264;Canon;2934 B 001;CLI-521 C;Ink cartridge cyan;145222210;Ink cartridge cyan;cyan;F;1;448;;;448 pages, 9,00 ml;9;;;;CLI-521;4960999577494;45032
50050865;20000849;KMP;1504,0001;C66;Ink cartridge black pigmented;145222110;Ink cartridge black;black;T;1;505;;;505 pages, 26,00 ml;26;;;1504;;4011324504019;134395
50030979;20000849;KMP;1176,0000;C-T15;Toner cartridge black;145211100;Toner black;black;T;1;2000;;;2.000 pages, 130 grams;;130;;1176;;4011324117608;134066
50030980;20000849;KMP;1121,0000;C-T16;Toner cartridge black;145211100;Toner black;black;T;1;2500;5;;2.500 pages/5%;;;;1121;;4011324112108;134038
50048616;20000264;Canon;2932 B 001;PGI-520 PGBK;Ink cartridge black pigmented;145222110;Ink cartridge black;black;F;1;324;;;324 pages, 19,00 ml;19;;;;PGI-520;4960999577456;67009
