IDITEM;IDBRAND;IDTYPE;IDCATEGORY;ARTNR;PARTNR;DESCRIPTION;TEXT1;TEXT2;TEXT3;TEXT4;TEXT5;TEXT6;TEXT7;TEXT8;TEXT9;TEXT10;NUMBER1;NUMBER2;NUMBER3;NUMBER4;NUMBER5;NUMBER6;NUMBER7;NUMBER8;NUMBER9;NUMBER10;BOOL1;BOOL2;BOOL3;BOOL4;BOOL5;BOOL6;BOOL7;BOOL8;BOOL9;BOOL10;TIMESTAMP
90000930;20000728;group;2009;;;849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.02.2026
40055207;20000264;item;145142000;0734 A 003;;Fax L 200;;;;;;;;;;;200;;;;;;;;;;;;T;;;;;;;;20.02.2026
40055208;20000264;item;145142000;6653 A 004;;Fax L 280;;;;;;;;;;;280;;;;;;;;;;;;T;;;;;;;;20.02.2026
40054978;20000264;item;145131000;;;S 800;;;;;;;;;;;800;;;;;;;;;;;;T;;;;;;;;20.02.2026
40056997;20000264;item;145131000;7887 A 006;;S 830 D;;;;;;;;;;;830;;;;;;;;;;;;T;;;;;;;;20.02.2026
40055264;20001400;item;145142000;;;T-Fax 8300;;;;;;;;;;;8300;;;;;;;;;;;;T;;;;;;;;20.02.2026
40056448;20000264;item;145131000;;;S 820 D;;;;;;;;;;;820;;;;;;;;;;;;F;;;;;;;;20.02.2026
40056449;20000264;item;145131000;6873 A 006;;S 900;;;;;;;;;;;900;;;;;;;;;;;;T;;;;;;;;20.02.2026
40056450;20000264;item;145131000;6887 A 006;;S 9000;;;;;;;;;;;9000;;;;;;;;;;;;T;;;;;;;;20.02.2026
40056329;20001400;item;145142000;;;T-Fax 8600;;;;;;;;;;;8600;;;;;;;;;;;;F;;;;;;;;20.02.2026
40057073;20000264;item;145142000;;;Fax L 240;;;;;;;;;;;240;;;;;;;;;;;;T;;;;;;;;20.02.2026
40057074;20000264;item;145142000;7960 A 004;;Fax L 290;;;;;;;;;;;290;;;;;;;;;;;;F;;;;;;;;20.02.2026
40057075;20000264;item;145142000;7961 A 004;;Fax L 360;;;;;;;;;;;360;;;;;;;;;;;;T;;;;;;;;20.02.2026
40055423;20000264;item;145123000;;;Multipass L 6000;;;;;;;;;;;6000;;;;;;;;;;;;T;;;;;;;;20.02.2026
40054036;20000264;item;145142000;0686 A 006;;Fax L 350;;;;;;;;;;;350;;;;;;;;;;;;T;;;;;;;;20.02.2026
40056056;20000264;item;145123000;;;CFX L 3500 iF;;;;;;;;;;;3500;;;;;;;;;;;;T;;;;;;;;20.02.2026
31000136;20000264;group;2007;;;TX;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000137;20000264;group;2007;;;Typemate;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000138;20000264;group;2007;;;Typestar;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000139;20000264;group;2007;;;VP;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000140;20000264;group;2007;;;W;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000141;20000264;group;2007;;;Wordboy;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000142;20000344;group;2007;;;MDP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000143;20000344;group;2007;;;Pagemaster;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000144;20000344;group;2007;;;PR;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000145;20000344;group;2007;;;Signum;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000146;20001602;group;2007;;;C;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000147;20001602;group;2007;;;IPC;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000148;20001602;group;2007;;;IS;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000149;20001602;group;2007;;;ISC;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000150;20000471;group;2007;;;B;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000151;20000471;group;2007;;;BP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000152;20000471;group;2007;;;D;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000153;20000471;group;2007;;;CP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000154;20000471;group;2007;;;DDS;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000155;20000471;group;2007;;;DP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000156;20000471;group;2007;;;FP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000157;20000471;group;2007;;;LB;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000158;20000471;group;2007;;;LM;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000159;20000471;group;2007;;;LP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000161;20000471;group;2007;;;LZR;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000162;20000471;group;2007;;;M;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000163;20000471;group;2007;;;P;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000164;20000471;group;2007;;;SPG;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000165;20000471;group;2007;;;Typhoon;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000166;20000513;group;2007;;;D;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000167;20000513;group;2007;;;Defax;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000168;20000513;group;2007;;;DFC;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000169;20000513;group;2007;;;Ineo;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000170;20000513;group;2007;;;L;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000171;20000513;group;2007;;;Laser;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000172;20000513;group;2007;;;LP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000173;20000513;group;2007;;;LZ;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000174;20000513;group;2007;;;QC;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000175;20000530;group;2007;;;LN;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000176;20000530;group;2007;;;LP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000177;20000530;group;2007;;;LQP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000178;20000530;group;2007;;;LS;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000180;20000530;group;2007;;;LXP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000181;20000530;group;2007;;;LXY;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000182;20000530;group;2007;;;M;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000183;20000530;group;2007;;;Multijet;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000184;20000530;group;2007;;;P;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000185;20000530;group;2007;;;PDP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000186;20000530;group;2007;;;Printserver;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000187;20000252;group;2007;;;C;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000188;20000252;group;2007;;;CI;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000189;20000252;group;2007;;;CIE;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000190;20000252;group;2007;;;CL;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000191;20000252;group;2007;;;F;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000192;20000252;group;2007;;;IS;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000193;20000252;group;2007;;;M;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000196;20000252;group;2007;;;Prowriter;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000197;20000252;group;2007;;;Riteman;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000198;20000252;group;2007;;;Starwriter;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000199;20000593;group;2007;;;Actionlaser;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000200;20000593;group;2007;;;Actionprinter;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000201;20000593;group;2007;;;Aculaser;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000202;20000593;group;2007;;;Apex;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000203;20000593;group;2007;;;Color Proofer;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000204;20000593;group;2007;;;CR;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000205;20000593;group;2007;;;CTM;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000206;20000593;group;2007;;;DFX;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
34000797;20000728;group;2007;;;OfficeJet Pro X;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000817;20000499;group;2007;;;C;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000207;20000593;group;2007;;;DLQ;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000208;20000593;group;2007;;;DX;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000209;20000593;group;2007;;;EHT;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000210;20000593;group;2007;;;Elite;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000211;20000593;group;2007;;;EPL;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000212;20000593;group;2007;;;EPL-C;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000213;20000593;group;2007;;;EPL-N;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000214;20000593;group;2007;;;ERC;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000215;20000593;group;2007;;;EX;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000216;20000593;group;2007;;;Expert;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000217;20000593;group;2007;;;FX;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000218;20000593;group;2007;;;GQ;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000219;20000593;group;2007;;;GX;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000220;20000593;group;2007;;;HG;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000221;20000593;group;2007;;;HX;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000222;20000593;group;2007;;;IR;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000223;20000593;group;2007;;;IT-U;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000225;20000593;group;2007;;;LQ;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000226;20000593;group;2007;;;LX;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000227;20000593;group;2007;;;M;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000228;20000593;group;2007;;;Machjet;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000229;20000593;group;2007;;;MJ;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000230;20000593;group;2007;;;MP;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000231;20000593;group;2007;;;M-U;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000232;20000593;group;2007;;;MX;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000233;20000593;group;2007;;;P;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000234;20000593;group;2007;;;Picturemate;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000235;20000593;group;2007;;;PM;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000237;20000593;group;2007;;;RP;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000238;20000593;group;2007;;;RV;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000239;20000593;group;2007;;;RX;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000240;20000593;group;2007;;;SQ;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000241;20000593;group;2007;;;Stylus C;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000242;20000593;group;2007;;;Stylus Color;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000243;20000593;group;2007;;;Stylus CX;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000244;20000593;group;2007;;;Stylus D;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000245;20000593;group;2007;;;Stylus DX;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000246;20000593;group;2007;;;Stylus Photo;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000247;20000593;group;2007;;;Stylus Pro;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000248;20000593;group;2007;;;Stylus Scan;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000249;20000593;group;2007;;;Stylus;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000250;20000593;group;2007;;;T;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000251;20000593;group;2007;;;TLQ;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000252;20000593;group;2007;;;TM;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000253;20000593;group;2007;;;TM-H;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000254;20000593;group;2007;;;TM-J;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000255;20000593;group;2007;;;TM-U;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000256;20000593;group;2007;;;TQ;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000257;20000593;group;2007;;;TX;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000258;20000593;group;2007;;;VP;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000259;20000593;group;2007;;;X;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000260;20000652;group;2007;;;ACT;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000261;20000652;group;2007;;;Atrium;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000262;20000652;group;2007;;;Breeze;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
40059972;20001400;item;145142000;;;T-Fax 8601;;;;;;;;;;;8601;;;;;;;;;;;;F;;;;;;;;20.02.2026
40060682;20000264;item;145131000;8537 A 006;;I 990;;;;;;;;;;;990;;;;;;;;;;;;T;;;;;;;;20.02.2026
40060076;20000264;item;145142000;9193 A 004;;Fax L 220;;;;;;;;;;;220;;;;;;;;;;;;T;;;;;;;;20.02.2026
40060077;20000264;item;145142000;9192 A 004;;Fax L 295;;;;;;;;;;;295;;;;;;;;;;;;F;;;;;;;;20.02.2026
40060428;20000264;item;145123000;8098 A 025;;imageCLASS D 340;;;;;;;;;;;340;;;;;;;;;;;;T;;;;;;;;20.02.2026
40060429;20000264;item;145142000;;;Laser Class 510;;;;;;;;;;;510;;;;;;;;;;;;T;;;;;;;;20.02.2026
40060440;20000264;item;145121000;;;LBP-27;;;;;;;;;;;27;;;;;;;;;;;;T;;;;;;;;20.02.2026
40060441;20000264;item;145121000;;;Lasershot LBP-3200;;;;;;;;;;;3200;;;;;;;;;;;;F;;;;;;;;20.02.2026
40060442;20000264;item;145121000;;;LBP-300 n;;;;;;;;;;;300;;;;;;;;;;;;T;;;;;;;;20.02.2026
40060443;20000264;item;145121000;;;LBP-300 LDA;;;;;;;;;;;300;;;;;;;;;;;;T;;;;;;;;20.02.2026
40060444;20000264;item;145121000;;;LBP-300 LDF;;;;;;;;;;;300;;;;;;;;;;;;T;;;;;;;;20.02.2026
40060445;20000264;item;145121000;;;LBP-3200;;;;;;;;;;;3200;;;;;;;;;;;;T;;;;;;;;20.02.2026
40058387;20000264;item;145142000;8097 A 002;;Fax L 400;;;;;;;;;;;400;;;;;;;;;;;;T;;;;;;;;20.02.2026
40058388;20000264;item;145131000;8535 A 006;;I 9100;;;;;;;;;;;9100;;;;;;;;;;;;T;;;;;;;;20.02.2026
40058392;20000264;item;145142000;;;Faxphone L 75;;;;;;;;;;;75;;;;;;;;;;;;T;;;;;;;;20.02.2026
40060963;20000264;item;145142000;9400 A 004;;Fax L 380;;;;;;;;;;;380;;;;;;;;;;;;F;;;;;;;;20.02.2026
40057540;20000569;item;145142000;;;Agoris 5104;;;;;;;;;;;5104;;;;;;;;;;;;T;;;;;;;;20.02.2026
40057541;20000569;item;145142000;;;Agoris 6102;;;;;;;;;;;6102;;;;;;;;;;;;T;;;;;;;;20.02.2026
40061987;20000264;item;145131000;9316 A 017;;Pixma IP 3000;;;;;;;;;;;3000;;;;;;;;;;;;T;;;;;;;;20.02.2026
40061988;20000264;item;145131000;9317 A 017;;Pixma IP 4000;;;;;;;;;;;4000;;;;;;;;;;;;F;;;;;;;;20.02.2026
40061991;20000264;item;145132000;9790 A 006;;Pixma MP 750;;;;;;;;;;;750;;;;;;;;;;;;T;;;;;;;;20.02.2026
40061992;20000264;item;145132000;9791 A 009;;Pixma MP 780;;;;;;;;;;;780;;;;;;;;;;;;T;;;;;;;;20.02.2026
40061377;20000264;item;145131000;;;I 560 X;;;;;;;;;;;560;;;;;;;;;;;;F;;;;;;;;20.02.2026
40061378;20000264;item;145123000;9388 A 004;;Laserbase MF 5630;;;;;;;;;;;5630;;;;;;;;;;;;F;;;;;;;;20.02.2026
40061379;20000264;item;145123000;9388 A 007;;Laserbase MF 5650;;;;;;;;;;;5650;;;;;;;;;;;;F;;;;;;;;20.02.2026
40062092;20000264;item;145131000;9325 A 017;;Pixma IP 8500;;;;;;;;;;;8500;;;;;;;;;;;;T;;;;;;;;20.02.2026
40062093;20000264;item;145131000;;;Pixma IP 6000 D;;;;;;;;;;;6000;;;;;;;;;;;;T;;;;;;;;20.02.2026
