IDBRAND;NAME;UPPERNAME;IDPARBRAND;IMPORTANCE;TYPE
20002769;Sindoh;SINDOH;;2;OEM
20000969;Microplex;MICROPLEX;;2;OEM
20000984;Kyocera;KYOCERA;;1;OEM
20000989;Mitsubishi;MITSUBISHI;;2;OEM
20000243;Bull;BULL;;2;OEM
20000246;Burroughs;BURROUGHS;;2;OEM
20000252;C.Itoh;C.ITOH;;1;OEM
20000264;Canon;CANON;;1;OEM
20000276;Casio;CASIO;;2;OEM
20001279;Seiko Precision;SEIKO PRECISION;;2;OEM
20001280;Seikosha;SEIKOSHA;;2;OEM
20001284;Selex;SELEX;;2;OEM
20001289;Sharp;SHARP;;1;OEM
20000784;Infotec;INFOTEC;;1;OEM
20001047;Nokia;NOKIA;;2;OEM
20000302;Citizen;CITIZEN;;2;OEM
20000329;Commodore;COMMODORE;;2;OEM
20000333;Compaq;COMPAQ;;2;OEM
20000344;Compuprint;COMPUPRINT;;2;OEM
20000054;Agfa;AGFA;;2;OEM
20000063;Alcatel;ALCATEL;;2;OEM
20000068;Nakajima;NAKAJIMA;;2;OEM
20000080;Alps;ALPS;;2;OEM
20000098;Amstrad;AMSTRAD;;2;OEM
20001295;Wincor-Nixdorf;WINCOR-NIXDORF;;2;OEM
20001299;Silver Reed;SILVER REED;;2;COM
20001305;Smith Corona;SMITH CORONA;;2;OEM
20001311;Sony;SONY;;2;OEM
20001328;Star Micronics;STAR MICRONICS;;2;OEM
20001348;Swintec;SWINTEC;;2;OEM
20000827;Jetfax;JETFAX;;2;OEM
20000101;Anadex;ANADEX;;2;OEM
20001067;OCE;OCE;;1;OEM
20001074;OKI;OKI;;1;OEM
20001076;Olivetti;OLIVETTI;;1;OEM
20001077;Olympia;OLYMPIA;;1;OEM
20001079;Omnifax;OMNIFAX;;2;OEM
20001080;Omron;OMRON;;2;OEM
20001086;OTC;OTC;;2;OEM
20001099;Panasonic;PANASONIC;;1;OEM
20000120;Apple;APPLE;;2;OEM
20000841;Kentek;KENTEK;;2;OEM
20000849;KMP;KMP;;1;COM
20000851;Kodak;KODAK;;2;OEM
20000861;Lanier;LANIER;;1;OEM
20001109;Pelikan;PELIKAN;;2;COM
20000388;COT;COT;;2;OEM
20000391;CPF;CPF;;2;OEM
20001476;Unisys;UNISYS;;2;OEM
20000681;Gestetner;GESTETNER;;1;OEM
20000946;Memorex;MEMOREX;;2;OEM
20000499;Dell;DELL;;1;OEM
20000511;Detewe;DETEWE;;2;OEM
20000513;Develop;DEVELOP;;1;OEM
20000515;Diablo;DIABLO;;2;OEM
20000530;Digital Equipment Corp;DIGITAL EQUIPMENT CORP;;2;OEM
20000746;IBM;IBM;;1;OEM
20000750;ICL;ICL;;2;OEM
20000037;Adler-Royal;ADLER-ROYAL;;2;OEM
20000999;Monroe;MONROE;;2;OEM
20001003;Motorola;MOTOROLA;;2;OEM
20001013;Muratec;MURATEC;;2;OEM
20001484;Utax;UTAX;;1;OEM
20000002;3 M;3 M;;2;OEM
20000004;A.B. Dick;A.B. DICK;;2;OEM
20001026;NCR;NCR;;2;OEM
20001029;NEC;NEC;;1;OEM
20001237;Sagem;SAGEM;;1;OEM
20001240;Samsung;SAMSUNG;;1;OEM
20001250;Sanyo;SANYO;;2;OEM
20001257;Savin;SAVIN;;2;OEM
20001511;Wang;WANG;;2;OEM
20001535;Xerox;XEROX;;1;OEM
20000717;Hasler;HASLER;;2;OEM
20000728;HP;HP;;1;OEM
20000730;Hitachi;HITACHI;;2;OEM
20000569;EGT;EGT;;2;OEM
20000586;Encad;ENCAD;;2;OEM
20000593;Epson;EPSON;;1;OEM
20001602;Danka;DANKA;;2;OEM
20001605;Tenovis;TENOVIS;;2;OEM
20001607;Primera;PRIMERA;;2;OEM
20001612;Copystar;COPYSTAR;;2;OEM
20001648;Quadient;QUADIENT;;2;OEM
20001768;Imagistics;IMAGISTICS;;2;OEM
20001122;Philips;PHILIPS;;1;OEM
20001128;Pitney Bowes;PITNEY BOWES;;2;OEM
20001145;Xante;XANTE;;2;OEM
20001150;Printronix;PRINTRONIX;;2;OEM
20001154;Privileg;PRIVILEG;;2;OEM
20002088;Output Solutions;OUTPUT SOLUTIONS;;2;OEM
20002308;Mimaki;MIMAKI;;2;OEM
20002389;NRG;NRG;;1;OEM
20002488;Dymo;DYMO;;2;OEM
20002568;Infoprint Solutions Company;INFOPRINT SOLUTIONS COMPANY;;2;OEM
20002628;Avision;AVISION;;2;OEM
20001161;PSI;PSI;;2;OEM
20001164;Konica Minolta;KONICA MINOLTA;;1;OEM
20001383;TEC;TEC;;2;OEM
20001400;Telekom;TELEKOM;;1;OEM
20001405;Telesystems;TELESYSTEMS;;2;OEM
20000204;Binder;BINDER;;2;OEM
20000207;Bizerba;BIZERBA;;2;OEM
20000218;Bosch;BOSCH;;2;OEM
20000623;Facit;FACIT;;2;OEM
20000868;Lasermaster;LASERMASTER;;2;OEM
20000886;Lexmark;LEXMARK;;1;OEM
20000228;British Telecom;BRITISH TELECOM;;2;OEM
20000229;Brother;BROTHER;;1;OEM
20000471;Dataproducts;DATAPRODUCTS;;1;OEM
20001196;Regma;REGMA;;2;OEM
20001207;Rena;RENA;;2;OEM
20001210;Rex Rotary;REX ROTARY;;1;OEM
20000652;Fujitsu;FUJITSU;;2;OEM
20000653;Fujitsu General;FUJITSU GENERAL;;2;OEM
20000662;GCC;GCC;;2;OEM
20001421;Texas Instruments;TEXAS INSTRUMENTS;;2;OEM
20001988;Riso;RISO;;2;OEM
20002068;Telecom Italia;TELECOM ITALIA;;2;OEM
20000902;Lorenz;LORENZ;;2;OEM
20000920;Tally Genicom;TALLY GENICOM;;1;OEM
20001214;Ricoh;RICOH;;1;OEM
20001218;Roland;ROLAND;;2;OEM
20001434;Toshiba;TOSHIBA;;1;OEM
20001453;Triumph-Adler;TRIUMPH-ADLER;;1;OEM
50426648;Fujifilm;FUJIFILM;;2;OEM
50197082;Satas;SATAS;;2;OEM
50087100;Lenovo;LENOVO;;2;OEM
50101833;Dascom;DASCOM;;2;OEM
50096914;Pantum;PANTUM;;1;OEM
50188386;Atos;ATOS;;2;OEM
